FIPS_Code,State,Area_name,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
00000,US,United States,"65,712",
01000,AL,Alabama,"51,771",100.0
01001,AL,"Autauga County, AL","58,233",112.5
01003,AL,"Baldwin County, AL","59,871",115.6
01005,AL,"Barbour County, AL","35,972",69.5
01007,AL,"Bibb County, AL","47,918",92.6
01009,AL,"Blount County, AL","52,902",102.2
01011,AL,"Bullock County, AL","31,906",61.6
01013,AL,"Butler County, AL","39,944",77.2
01015,AL,"Calhoun County, AL","47,747",92.2
01017,AL,"Chambers County, AL","42,015",81.2
01019,AL,"Cherokee County, AL","45,982",88.8
01021,AL,"Chilton County, AL","49,692",96.0
01023,AL,"Choctaw County, AL","39,808",76.9
01025,AL,"Clarke County, AL","43,822",84.6
01027,AL,"Clay County, AL","40,562",78.3
01029,AL,"Cleburne County, AL","51,276",99.0
01031,AL,"Coffee County, AL","57,299",110.7
01033,AL,"Colbert County, AL","46,683",90.2
01035,AL,"Conecuh County, AL","41,539",80.2
01037,AL,"Coosa County, AL","42,024",81.2
01039,AL,"Covington County, AL","44,836",86.6
01041,AL,"Crenshaw County, AL","43,309",83.7
01043,AL,"Cullman County, AL","50,897",98.3
01045,AL,"Dale County, AL","45,120",87.2
01047,AL,"Dallas County, AL","34,034",65.7
01049,AL,"DeKalb County, AL","44,277",85.5
01051,AL,"Elmore County, AL","62,310",120.4
01053,AL,"Escambia County, AL","42,712",82.5
01055,AL,"Etowah County, AL","43,047",83.1
01057,AL,"Fayette County, AL","44,212",85.4
01059,AL,"Franklin County, AL","44,874",86.7
01061,AL,"Geneva County, AL","43,089",83.2
01063,AL,"Greene County, AL","28,699",55.4
01065,AL,"Hale County, AL","40,745",78.7
01067,AL,"Henry County, AL","48,597",93.9
01069,AL,"Houston County, AL","50,138",96.8
01071,AL,"Jackson County, AL","44,322",85.6
01073,AL,"Jefferson County, AL","54,127",104.6
01075,AL,"Lamar County, AL","42,686",82.5
01077,AL,"Lauderdale County, AL","48,188",93.1
01079,AL,"Lawrence County, AL","47,797",92.3
01081,AL,"Lee County, AL","54,160",104.6
01083,AL,"Limestone County, AL","64,729",125.0
01085,AL,"Lowndes County, AL","33,930",65.5
01087,AL,"Macon County, AL","34,281",66.2
01089,AL,"Madison County, AL","68,609",132.5
01091,AL,"Marengo County, AL","38,838",75.0
01093,AL,"Marion County, AL","44,675",86.3
01095,AL,"Marshall County, AL","48,913",94.5
01097,AL,"Mobile County, AL","49,492",95.6
01099,AL,"Monroe County, AL","40,005",77.3
01101,AL,"Montgomery County, AL","52,711",101.8
01103,AL,"Morgan County, AL","54,355",105.0
01105,AL,"Perry County, AL","29,572",57.1
01107,AL,"Pickens County, AL","40,249",77.7
01109,AL,"Pike County, AL","41,271",79.7
01111,AL,"Randolph County, AL","42,922",82.9
01113,AL,"Russell County, AL","43,670",84.4
01115,AL,"St. Clair County, AL","65,403",126.3
01117,AL,"Shelby County, AL","77,801",150.3
01119,AL,"Sumter County, AL","29,209",56.4
01121,AL,"Talladega County, AL","47,719",92.2
01123,AL,"Tallapoosa County, AL","47,100",91.0
01125,AL,"Tuscaloosa County, AL","52,307",101.0
01127,AL,"Walker County, AL","45,991",88.8
01129,AL,"Washington County, AL","48,864",94.4
01131,AL,"Wilcox County, AL","30,998",59.9
01133,AL,"Winston County, AL","40,827",78.9
02000,AK,Alaska,"77,203",100.0
02013,AK,"Aleutians East Borough, AK","66,923",86.7
02016,AK,"Aleutians West Census Area, AK","84,726",109.7
02020,AK,"Anchorage Borough/municipality, AK","82,512",106.9
02050,AK,"Bethel Census Area, AK","48,262",62.5
02060,AK,"Bristol Bay Borough, AK","87,950",113.9
02068,AK,"Denali Borough, AK","78,434",101.6
02070,AK,"Dillingham Census Area, AK","57,436",74.4
02090,AK,"Fairbanks North Star Borough, AK","74,076",95.9
02100,AK,"Haines Borough, AK","62,548",81.0
02105,AK,"Hoonah-Angoon Census Area, AK","53,141",68.8
02110,AK,"Juneau Borough/city, AK","85,419",110.6
02122,AK,"Kenai Peninsula Borough, AK","68,625",88.9
02130,AK,"Ketchikan Gateway Borough, AK","75,706",98.1
02150,AK,"Kodiak Island Borough, AK","79,669",103.2
02158,AK,"Kusilvak Census Area, AK","35,369",45.8
02164,AK,"Lake and Peninsula Borough, AK","51,693",67.0
02170,AK,"Matanuska-Susitna Borough, AK","75,856",98.3
02180,AK,"Nome Census Area, AK","58,464",75.7
02185,AK,"North Slope Borough, AK","84,784",109.8
02188,AK,"Northwest Arctic Borough, AK","61,660",79.9
02195,AK,"Petersburg Borough, AK","71,296",92.3
02198,AK,"Prince of Wales-Hyder Census Area, AK","50,049",64.8
02201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",,
02220,AK,"Sitka Borough/city, AK","80,660",104.5
02230,AK,"Skagway Municipality, AK","74,898",97.0
02232,AK,"Skagway-Hoonah-Angoon Census Area, AK",,
